id,title,score,type,eps,year
ap_173,Soul Land II: The Peerless Tang Clan,4.2,Web,138+,2023 - ?
ap_174,Stellar Transformation 6th Season,4.2,Web,28,2025
ap_175,Shangri-La Frontier,4.2,TV,25,2023 - 2024
ap_176,Re:ZERO: Starting Life in Another World,4.2,TV,25,2016
ap_177,Ascendance of a Bookworm Season 3,4.2,TV,10,2022
ap_178,xxxHOLiC Kei,4.2,TV,13,2008
ap_179,Great Pretender,4.2,Web,23,2020
ap_180,The Quintessential Quintuplets 2,4.2,TV,12,2021
ap_181,Fate/Zero,4.2,TV,13,2011
ap_182,The King's Avatar Movie: For the Glory,4.2,Movie,1 ep,2019
ap_183,Overlord II,4.2,TV,13,2018
ap_184,Nichijou: My Ordinary Life,4.2,TV,26,2011
ap_185,Land of the Lustrous,4.2,TV,12,2017
ap_186,The King's Avatar 2,4.2,Web,12,2020
ap_187,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,4.2,TV Special,1 ep,2013
ap_188,Saekano: How to Raise a Boring Girlfriend Fine,4.2,Movie,1 ep,2019
ap_189,My New Boss is Goofy,4.2,TV,12,2023
ap_190,Slay The Gods,4.2,Web,15,2024
ap_191,Puella Magi Madoka Magica the Movie Part 2: Eternal,4.2,Movie,1 ep,2012
ap_192,Tsubasa Reservoir Chronicle: Tokyo Revelations,4.2,OVA,3,2007 - 2008
ap_193,Natsume's Book of Friends Movie 2,4.2,Movie,1 ep,2021
ap_194,Ping Pong The Animation,4.2,TV,11,2014
ap_195,Laid-Back Camp,4.2,TV,12,2018
ap_196,Tokyo Godfathers,4.2,Movie,1 ep,2003
ap_197,Teasing Master Takagi-san Movie,4.2,Movie,1 ep,2022
ap_198,Trigun,4.2,TV,26,1998
ap_199,Death Parade,4.2,TV,12,2015
ap_200,Pluto,4.2,Web,8,2023
ap_201,Initial D Fifth Stage,4.2,TV,14,2012 - 2013
ap_202,Teasing Master Takagi-san 3,4.2,TV,12,2022
ap_203,Hajime no Ippo: Mashiba vs Kimura,4.2,OVA,1 ep,2003
ap_204,Uma Musume: Cinderella Grey,4.2,TV,13,2025
ap_205,The Girl Who Leapt Through Time,4.2,Movie,1 ep,2006
ap_206,Space Brothers,4.2,TV,99,2012 - 2014
ap_207,Nodame Cantabile,4.2,TV,23,2007
ap_208,Cross Game,4.2,TV,50,2009 - 2010
ap_209,Detective Conan Movie 15: Quarter of Silence,4.2,Movie,1 ep,2011
ap_210,Girls und Panzer das Finale: Part 3,4.2,Movie,1 ep,2021
ap_211,Wotakoi: Love is Hard for Otaku,4.2,TV,11,2018
ap_212,Ado: Tot Musica,4.2,Music Video,1 ep,2022
ap_213,Throne of Seal,4.2,Web,26,2022
ap_214,Ghost in the Shell: Stand Alone Complex,4.2,TV,26,2002 - 2003
ap_215,Whisper of the Heart,4.2,Movie,1 ep,1995
ap_216,Castlevania Season 3,4.2,Web,10,2020
ap_217,Berserk: Golden Age Arc III - The Advent,4.2,Movie,1 ep,2013
ap_218,Blue Exorcist: The Blue Night Saga,4.2,TV,12,2025
ap_219,Welcome to the Ballroom,4.2,TV,24,2017
ap_220,Legend of the Galactic Heroes: Die Neue These Second 2,4.2,Movie,1 ep,2019
ap_221,Noragami,4.2,TV,12,2014
ap_222,Redline,4.1,Movie,1 ep,2009
ap_223,Legend of the Galactic Heroes: Die Neue These Third 3,4.1,Movie,1 ep,2022
ap_224,xxxHOLiC Rou,4.1,OVA,2,2010 - 2011
ap_225,Gintama: Jump Festa 2008,4.1,Other,1 ep,2008
ap_226,Kizumonogatari Part 1: Tekketsu,4.1,Movie,1 ep,2016
ap_227,Toradora!,4.1,TV,25,2008 - 2009
ap_228,Detective Conan Movie 13: The Raven Chaser,4.1,Movie,1 ep,2009
ap_229,Classroom of the Elite 2nd Season,4.1,TV,13,2022
ap_230,Sentenced to Be a Hero,4.1,TV,5+,2026 - ?
ap_231,Princess Jellyfish,4.1,TV,11,2010
ap_232,Kiki's Delivery Service,4.1,Movie,1 ep,1989
ap_233,Scissor Seven 5th Season,4.1,Web,10,2024
ap_234,BECK: Mongolian Chop Squad,4.1,TV,26,2004 - 2005
ap_235,Hozuki's Coolheadedness 2nd Season: Part II,4.1,TV,13,2018
ap_236,Attack on Titan Movie 3: The Roar of Awakening,4.1,Movie,1 ep,2018
ap_237,JoJo's Bizarre Adventure: Stone Ocean - Part II,4.1,Web,12,2022
ap_238,Toilet-Bound Hanako-kun 2nd Season,4.1,TV,12,2025
ap_239,Monogatari Series: Off & Monster Season,4.1,Web,14,2024
ap_240,Angel Beats!,4.1,TV,13,2010
ap_241,Throne of Seal Movie: The Crownless God,4.1,Web,1 ep,2025
ap_242,Tsukimichi: Moonlit Fantasy Season 2,4.1,TV,25,2024
ap_243,Ascendance of a Bookworm,4.1,TV,14,2019
ap_244,Code Geass Movie: Lelouch of the Re;surrection,4.1,Movie,1 ep,2019
ap_245,Star Blazers: Space Battleship Yamato 2199,4.1,OVA,26,2012 - 2013
ap_246,Tokyo Revengers,4.1,TV,24,2021
ap_247,Non Non Biyori Movie: Vacation,4.1,Movie,1 ep,2018
ap_248,The Demon Hunter 2,4.1,Web,36,2024 - 2025
ap_249,Assassination Classroom 2nd Season: Kagaijugyou-hen,4.1,Web,8,2016
ap_250,Laid-Back Camp Movie,4.1,Movie,1 ep,2022
ap_251,Toilet-Bound Hanako-kun 2nd Season: Part II,4.1,TV,12,2025
ap_252,Laputa: Castle in the Sky,4.1,Movie,1 ep,1986
ap_253,Girls und Panzer der Film,4.1,Movie,1 ep,2015
ap_254,Initial D Second Stage,4.1,TV,13,1999 - 2000
ap_255,Nodame Cantabile: Paris,4.1,TV,11,2008
ap_256,Berserk,4.1,TV,25,1997 - 1998
ap_257,Sleepy Princess in the Demon Castle,4.1,TV,12,2020
ap_258,Tokyo Ghoul,4.1,TV,12,2014
ap_259,One-Punch Man: Road to Hero,4.1,OVA,1 ep,2015
ap_260,Detective Conan Movie 25: The Bride of Halloween,4.1,Movie,1 ep,2022
ap_261,Astra Lost in Space,4.1,TV,12,2019
ap_262,SK8 the Infinity OVA: Extra Part,4.1,OVA,1 ep,2025
ap_263,Kimi ni Todoke - From Me To You Season 2,4.1,TV,12,2011
ap_264,Fanren Xiu Xian Chuan: Chu Ru Xing Hai,4.1,Web,12,2022
ap_265,Vivy: Fluorite Eye's Song,4.1,TV,13,2021
ap_266,Black Clover,4.1,TV,170,2017 - 2021
ap_267,Komi Can't Communicate 2nd Season,4.1,TV,12,2022
ap_268,Wotakoi: Love is Hard for Otaku - Youth,4.1,OVA,1 ep,2019
ap_269,Food Wars! The Fourth Plate,4.1,TV,12,2019
ap_270,Made in Abyss: Tabidachi no Yoake,4.1,Movie,1 ep,2019
ap_271,Legend of the Galactic Heroes: Die Neue These Third 2,4.1,Movie,1 ep,2022
ap_272,Keep Your Hands Off Eizouken!,4.1,TV,12,2020
ap_273,One Piece Film: Gold,4.1,Movie,1 ep,2016
ap_274,Asobi Asobase,4.1,TV,12,2018
ap_275,Yowamushi Pedal: Grande Road,4.1,TV,24,2014 - 2015
ap_276,Hozuki's Coolheadedness 2nd Season,4.1,TV,13,2017
ap_277,World Trigger 2nd Season,4.1,TV,12,2021
ap_278,Fire Force Season 2,4.1,TV,24,2020
ap_279,Katanagatari,4.1,TV,12,2010
ap_280,Detective Conan Movie 23: The Fist of Blue Sapphire,4.1,Movie,1 ep,2019
ap_281,Full Metal Panic? Fumoffu,4.1,TV,12,2003
ap_282,Swallowed Star,4.1,Web,26,2020 - 2021
ap_283,Rurouni Kenshin,4.1,TV,94,1996 - 1998
ap_284,Fire Force Season 3 - Part II,4.1,TV,5+,2026 - ?
ap_285,Initial D,4.1,TV,26,1998
ap_286,Secrets of the Silent Witch,4.1,TV,13,2025
ap_287,Scumbag System,4.1,Web,10,2020
ap_288,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You Season 2",4.1,TV,12,2025
ap_289,The Dangers in My Heart,4.1,TV,12,2023
ap_290,Detective Conan Movie 26: Black Iron Submarine,4.1,Movie,1 ep,2023
ap_291,Tokyo Revengers: Tenjiku-hen,4.1,TV,13,2023
ap_292,Sekai-ichi Hatsukoi: World's Greatest First Love 2,4.1,TV,12,2011
ap_293,Tsurune: The Linking Shot,4.1,TV,13,2023
ap_294,Mobile Suit Gundam: The Origin,4.1,OVA,6,2015 - 2018
ap_295,Trigun: Badlands Rumble,4.1,Movie,1 ep,2010
ap_296,Snow White with the Red Hair,4.1,TV,12,2015
ap_297,Genshin Impact: The Song Burning in the Embers,4.1,Web,1 ep,2024
ap_298,Kaiju No. 8 2nd Season,4.1,TV,11,2025
ap_299,Gintama: Jump Festa 2014,4.1,Other,1 ep,2014
ap_300,Thousand Autumns,4.1,Web,16,2021
ap_301,Time of Eve Movie,4.1,Movie,1 ep,2010
ap_302,A Will Eternal 3rd Season,4.1,Web,59,2024 - 2025
ap_303,Sakamoto Days: Part II,4.1,TV,11,2025
ap_304,Skip and Loafer,4.1,TV,12,2023
ap_305,My Teen Romantic Comedy SNAFU TOO!,4.1,TV,13,2015
ap_306,Magi: Adventure of Sinbad,4.1,TV,13,2016
ap_307,Baby Steps 2,4.1,TV,25,2015
ap_308,Heart and Yummie,4.1,Movie,1 ep,2010
ap_309,Jujutsu Kaisen PVs,4.1,Web,3,2018
ap_310,Black Lagoon,4.1,TV,12,2006
ap_311,Detective Conan Movie 18: The Sniper From Another Dimension,4.1,Movie,1 ep,2014
ap_312,That Time I Got Reincarnated as a Slime Season 3,4.1,TV,24,2024
ap_313,Fate/stay night: Heaven's Feel I. presage flower,4.1,Movie,1 ep,2017
ap_314,Baccano! Specials,4.1,DVD Special,3,2008
ap_315,Moriarty the Patriot OVA,4.1,OVA,2,2022
ap_316,The Ancient Magus' Bride Season 2: Part II,4.1,TV,12,2023
ap_317,Mononoke,4.1,TV,12,2007
ap_318,Nisemonogatari,4.1,TV,11,2012
ap_319,Sword Art Online: Progressive Movie 1 - Aria of a Starless Night,4.1,Movie,1 ep,2021
ap_320,No Doubt In Us 2: Part II,4.1,Web,12,2023
